;;;;;Recepcion;;;;;Balanza;;;;;Darsena 1;;;;Darsena 2
Evento;Camion;Dia;Reloj;Tiempo prox llegada;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Estado;Camion;Prox fin atencion;Cola
Fin atencion Recepcion;269;3;10hs 41min 51s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;260;0hs 7min 56s;Ocupado;259;0hs 4min 58s;9
Llega camion;270;3;10hs 43min 19s;0hs 7min 43s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;260;0hs 6min 28s;Ocupado;259;0hs 3min 30s;9
Fin atencion Recepcion;270;3;10hs 46min 43s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;260;0hs 3min 4s;Ocupado;259;0hs 0min 6s;9
Llega camion;271;3;10hs 51min 3s;0hs 7min 0s;Libre; - ;0hs 0min 0s;1;Ocupado;270;0hs 2min 6s;0;Ocupado;262;0hs 16min 21s;Ocupado;261;0hs 11min 52s;7
Fin atencion Balanza;270;3;10hs 53min 9s;0hs 0min 0s;Ocupado;271;0hs 2min 25s;0;Libre; - ;..hs ..min ..s;0;Ocupado;262;0hs 14min 15s;Ocupado;261;0hs 9min 46s;8
Fin atencion Recepcion;271;3;10hs 55min 35s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;262;0hs 11min 49s;Ocupado;261;0hs 7min 20s;9
Llega camion;272;3;10hs 58min 4s;0hs 7min 49s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;262;0hs 9min 20s;Ocupado;261;0hs 4min 51s;9
Fin atencion Recepcion;272;3;11hs 4min 53s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;262;0hs 2min 31s;Ocupado;263;0hs 13min 57s;8
Llega camion;273;3;11hs 5min 54s;0hs 7min 15s;Libre; - ;0hs 0min 0s;1;Ocupado;272;0hs 4min 37s;0;Ocupado;262;0hs 1min 30s;Ocupado;263;0hs 12min 56s;8
Fin atencion Recepcion;273;3;11hs 9min 45s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;272;0hs 0min 46s;1;Ocupado;264;0hs 12min 54s;Ocupado;263;0hs 9min 5s;7
Fin atencion Balanza;272;3;11hs 10min 31s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;273;..hs ..min ..s;0;Ocupado;264;0hs 12min 8s;Ocupado;263;0hs 8min 19s;8
Llega camion;274;3;11hs 13min 10s;0hs 7min 35s;Libre; - ;0hs 0min 0s;1;Ocupado;273;0hs 4min 5s;0;Ocupado;264;0hs 9min 29s;Ocupado;263;0hs 5min 40s;8
Fin atencion Balanza;273;3;11hs 17min 15s;0hs 0min 0s;Ocupado;274;0hs 1min 36s;0;Libre; - ;..hs ..min ..s;0;Ocupado;264;0hs 5min 24s;Ocupado;263;0hs 1min 35s;9
Fin atencion Recepcion;274;3;11hs 18min 52s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;264;0hs 3min 47s;Ocupado;265;0hs 15min 58s;9
Llega camion;275;3;11hs 20min 46s;0hs 7min 40s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;264;0hs 1min 53s;Ocupado;265;0hs 14min 4s;9
Fin atencion Recepcion;275;3;11hs 25min 16s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;266;0hs 13min 48s;Ocupado;265;0hs 9min 34s;8
Llega camion;276;3;11hs 28min 27s;0hs 7min 2s;Libre; - ;0hs 0min 0s;1;Ocupado;275;0hs 2min 37s;0;Ocupado;266;0hs 10min 37s;Ocupado;265;0hs 6min 23s;8
Fin atencion Balanza;275;3;11hs 31min 4s;0hs 0min 0s;Ocupado;276;0hs 1min 21s;0;Libre; - ;..hs ..min ..s;0;Ocupado;266;0hs 8min 0s;Ocupado;265;0hs 3min 46s;9
Fin atencion Recepcion;276;3;11hs 32min 26s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;266;0hs 6min 38s;Ocupado;265;0hs 2min 24s;9
Llega camion;277;3;11hs 35min 30s;0hs 7min 53s;Libre; - ;0hs 0min 0s;1;Ocupado;276;0hs 2min 0s;0;Ocupado;266;0hs 3min 34s;Ocupado;267;0hs 18min 49s;8
Fin atencion Balanza;276;3;11hs 37min 30s;0hs 0min 0s;Ocupado;277;0hs 2min 55s;0;Libre; - ;..hs ..min ..s;0;Ocupado;266;0hs 1min 34s;Ocupado;267;0hs 16min 49s;9
Fin atencion Recepcion;277;3;11hs 40min 26s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;268;0hs 13min 57s;Ocupado;267;0hs 13min 53s;8
Llega camion;278;3;11hs 43min 24s;0hs 7min 25s;Libre; - ;0hs 0min 0s;1;Ocupado;277;0hs 3min 12s;0;Ocupado;268;0hs 10min 59s;Ocupado;267;0hs 10min 55s;8
Fin atencion Balanza;277;3;11hs 46min 36s;0hs 0min 0s;Ocupado;278;0hs 3min 30s;0;Libre; - ;..hs ..min ..s;0;Ocupado;268;0hs 7min 47s;Ocupado;267;0hs 7min 43s;9
Fin atencion Recepcion;278;3;11hs 50min 7s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;268;0hs 4min 16s;Ocupado;267;0hs 4min 12s;10
Llega camion;279;3;11hs 50min 50s;0hs 7min 7s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;268;0hs 3min 33s;Ocupado;267;0hs 3min 29s;10
Fin atencion Recepcion;279;3;11hs 57min 31s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;270;0hs 20min 47s;Ocupado;269;0hs 24min 44s;9
Llega camion;280;3;11hs 57min 58s;0hs 7min 55s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;270;0hs 20min 20s;Ocupado;269;0hs 24min 17s;9
Fin atencion Recepcion;280;3;12hs 1min 17s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;270;0hs 17min 1s;Ocupado;269;0hs 20min 58s;9
Llega camion;281;3;12hs 5min 54s;0hs 7min 38s;Libre; - ;0hs 0min 0s;1;Ocupado;280;0hs 1min 55s;0;Ocupado;270;0hs 12min 24s;Ocupado;269;0hs 16min 21s;9
Fin atencion Balanza;280;3;12hs 7min 49s;0hs 0min 0s;Ocupado;281;0hs 1min 23s;0;Libre; - ;..hs ..min ..s;0;Ocupado;270;0hs 10min 29s;Ocupado;269;0hs 14min 26s;10
Fin atencion Recepcion;281;3;12hs 9min 13s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;270;0hs 9min 5s;Ocupado;269;0hs 13min 2s;11
Llega camion;282;3;12hs 13min 33s;0hs 7min 49s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;270;0hs 4min 45s;Ocupado;269;0hs 8min 42s;11
Fin atencion Recepcion;282;3;12hs 18min 43s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;271;0hs 15min 21s;Ocupado;269;0hs 3min 32s;11
Llega camion;283;3;12hs 21min 23s;0hs 7min 52s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;271;0hs 12min 41s;Ocupado;269;0hs 0min 52s;11
Fin atencion Recepcion;283;3;12hs 26min 58s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;271;0hs 7min 6s;Ocupado;272;0hs 11min 3s;11
Llega camion;284;3;12hs 29min 16s;0hs 7min 53s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;271;0hs 4min 48s;Ocupado;272;0hs 8min 45s;11
Fin atencion Recepcion;284;3;12hs 34min 20s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;273;0hs 17min 7s;Ocupado;272;0hs 3min 41s;11
Llega camion;285;3;12hs 37min 10s;0hs 7min 46s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;273;0hs 14min 17s;Ocupado;272;0hs 0min 51s;11
Fin atencion Recepcion;285;3;12hs 42min 37s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;273;0hs 8min 50s;Ocupado;274;0hs 10min 58s;10
Llega camion;286;3;12hs 44min 57s;0hs 7min 44s;Libre; - ;0hs 0min 0s;1;Ocupado;285;0hs 3min 38s;0;Ocupado;273;0hs 6min 30s;Ocupado;274;0hs 8min 38s;10
Fin atencion Balanza;285;3;12hs 48min 35s;0hs 0min 0s;Ocupado;286;0hs 2min 38s;0;Libre; - ;..hs ..min ..s;0;Ocupado;273;0hs 2min 52s;Ocupado;274;0hs 5min 0s;11
Fin atencion Recepcion;286;3;12hs 51min 14s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;273;0hs 0min 13s;Ocupado;274;0hs 2min 21s;12
Llega camion;287;3;12hs 52min 42s;0hs 7min 16s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;275;0hs 16min 9s;Ocupado;274;0hs 0min 53s;11
Fin atencion Recepcion;287;3;12hs 57min 24s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;275;0hs 11min 27s;Ocupado;276;0hs 14min 41s;10
Llega camion;288;3;12hs 59min 59s;0hs 7min 3s;Libre; - ;0hs 0min 0s;1;Ocupado;287;0hs 4min 16s;0;Ocupado;275;0hs 8min 52s;Ocupado;276;0hs 12min 6s;10
Fin atencion Balanza;287;3;13hs 4min 15s;0hs 0min 0s;Ocupado;288;0hs 0min 9s;0;Libre; - ;..hs ..min ..s;0;Ocupado;275;0hs 4min 36s;Ocupado;276;0hs 7min 50s;11
Fin atencion Recepcion;288;3;13hs 4min 25s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;275;0hs 4min 26s;Ocupado;276;0hs 7min 40s;12
Llega camion;289;3;13hs 7min 3s;0hs 7min 33s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;275;0hs 1min 48s;Ocupado;276;0hs 5min 2s;12
Fin atencion Recepcion;289;3;13hs 10min 21s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;277;0hs 16min 47s;Ocupado;276;0hs 1min 44s;11
Llega camion;290;3;13hs 14min 37s;0hs 7min 26s;Libre; - ;0hs 0min 0s;1;Ocupado;289;0hs 1min 38s;0;Ocupado;277;0hs 12min 31s;Ocupado;278;0hs 17min 0s;10
Fin atencion Balanza;289;3;13hs 16min 15s;0hs 0min 0s;Ocupado;290;0hs 3min 23s;0;Libre; - ;..hs ..min ..s;0;Ocupado;277;0hs 10min 53s;Ocupado;278;0hs 15min 22s;11
Fin atencion Recepcion;290;3;13hs 19min 39s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;277;0hs 7min 29s;Ocupado;278;0hs 11min 58s;12
Llega camion;291;3;13hs 22min 4s;0hs 7min 21s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;277;0hs 5min 4s;Ocupado;278;0hs 9min 33s;12
Fin atencion Recepcion;291;3;13hs 28min 34s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;279;0hs 16min 59s;Ocupado;278;0hs 3min 3s;11
Llega camion;292;3;13hs 29min 26s;0hs 7min 35s;Libre; - ;0hs 0min 0s;1;Ocupado;291;0hs 4min 23s;0;Ocupado;279;0hs 16min 7s;Ocupado;278;0hs 2min 11s;11
Fin atencion Balanza;291;3;13hs 33min 49s;0hs 0min 0s;Ocupado;292;0hs 1min 57s;0;Libre; - ;..hs ..min ..s;0;Ocupado;279;0hs 11min 44s;Ocupado;280;0hs 16min 26s;11
Fin atencion Recepcion;292;3;13hs 35min 47s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;279;0hs 9min 46s;Ocupado;280;0hs 14min 28s;11
Llega camion;293;3;13hs 37min 2s;0hs 7min 48s;Libre; - ;0hs 0min 0s;1;Ocupado;292;0hs 5min 34s;0;Ocupado;279;0hs 8min 31s;Ocupado;280;0hs 13min 13s;11
Fin atencion Recepcion;293;3;13hs 40min 46s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;292;0hs 1min 50s;0;Ocupado;279;0hs 4min 47s;Ocupado;280;0hs 9min 29s;12
Fin atencion Balanza;292;3;13hs 42min 36s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;..hs ..min ..s;0;Ocupado;279;0hs 2min 57s;Ocupado;280;0hs 7min 39s;13
Llega camion;294;3;13hs 44min 51s;0hs 7min 52s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;279;0hs 0min 42s;Ocupado;280;0hs 5min 24s;13
Fin atencion Recepcion;294;3;13hs 51min 41s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;281;0hs 8min 57s;Ocupado;282;0hs 14min 26s;11
Llega camion;295;3;13hs 52min 44s;0hs 7min 11s;Libre; - ;0hs 0min 0s;1;Ocupado;294;0hs 4min 5s;0;Ocupado;281;0hs 7min 54s;Ocupado;282;0hs 13min 23s;11
Fin atencion Recepcion;295;3;13hs 56min 28s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;294;0hs 0min 21s;0;Ocupado;281;0hs 4min 10s;Ocupado;282;0hs 9min 39s;12
Fin atencion Balanza;294;3;13hs 56min 49s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;..hs ..min ..s;0;Ocupado;281;0hs 3min 49s;Ocupado;282;0hs 9min 18s;13
Llega camion;296;3;13hs 59min 56s;0hs 7min 23s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;281;0hs 0min 42s;Ocupado;282;0hs 6min 11s;13
Fin atencion Recepcion;296;3;14hs 5min 50s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;283;0hs 9min 58s;Ocupado;282;0hs 0min 17s;13
Llega camion;297;3;14hs 7min 20s;0hs 7min 41s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;283;0hs 8min 28s;Ocupado;284;0hs 16min 32s;12
Fin atencion Recepcion;297;3;14hs 10min 23s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;283;0hs 5min 25s;Ocupado;284;0hs 13min 29s;12
Llega camion;298;3;14hs 15min 2s;0hs 7min 2s;Libre; - ;0hs 0min 0s;1;Ocupado;297;0hs 2min 0s;0;Ocupado;283;0hs 0min 46s;Ocupado;284;0hs 8min 50s;12
Fin atencion Balanza;297;3;14hs 17min 2s;0hs 0min 0s;Ocupado;298;0hs 4min 47s;0;Libre; - ;..hs ..min ..s;0;Ocupado;285;0hs 15min 42s;Ocupado;284;0hs 6min 50s;12
Fin atencion Recepcion;298;3;14hs 21min 50s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;285;0hs 10min 54s;Ocupado;284;0hs 2min 2s;12
Llega camion;299;3;14hs 22min 5s;0hs 7min 14s;Libre; - ;0hs 0min 0s;1;Ocupado;298;0hs 5min 11s;0;Ocupado;285;0hs 10min 39s;Ocupado;284;0hs 1min 47s;12
Fin atencion Balanza;298;3;14hs 27min 16s;0hs 0min 0s;Ocupado;299;0hs 0min 3s;0;Libre; - ;..hs ..min ..s;0;Ocupado;285;0hs 5min 28s;Ocupado;286;0hs 13min 56s;12
Fin atencion Recepcion;299;3;14hs 27min 20s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;285;0hs 5min 24s;Ocupado;286;0hs 13min 52s;13
Llega camion;300;3;14hs 29min 20s;0hs 7min 45s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;285;0hs 3min 24s;Ocupado;286;0hs 11min 52s;13
Fin atencion Recepcion;300;3;14hs 35min 27s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;287;0hs 14min 52s;Ocupado;286;0hs 5min 45s;12
Llega camion;301;3;14hs 37min 6s;0hs 7min 4s;Libre; - ;0hs 0min 0s;1;Ocupado;300;0hs 4min 42s;0;Ocupado;287;0hs 13min 13s;Ocupado;286;0hs 4min 6s;12
Fin atencion Balanza;300;3;14hs 41min 48s;0hs 0min 0s;Ocupado;301;0hs 0min 55s;0;Libre; - ;..hs ..min ..s;0;Ocupado;287;0hs 8min 31s;Ocupado;288;0hs 18min 42s;12
Fin atencion Recepcion;301;3;14hs 42min 44s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;287;0hs 7min 35s;Ocupado;288;0hs 17min 46s;13
Llega camion;302;3;14hs 44min 11s;0hs 7min 26s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;287;0hs 6min 8s;Ocupado;288;0hs 16min 19s;13
Fin atencion Recepcion;302;3;14hs 47min 34s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;287;0hs 2min 45s;Ocupado;288;0hs 12min 56s;13
Llega camion;303;3;14hs 51min 38s;0hs 7min 22s;Libre; - ;0hs 0min 0s;1;Ocupado;302;0hs 2min 4s;0;Ocupado;289;0hs 18min 32s;Ocupado;288;0hs 8min 52s;12
Fin atencion Balanza;302;3;14hs 53min 42s;0hs 0min 0s;Ocupado;303;0hs 3min 23s;0;Libre; - ;..hs ..min ..s;0;Ocupado;289;0hs 16min 28s;Ocupado;288;0hs 6min 48s;13
Fin atencion Recepcion;303;3;14hs 57min 6s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;289;0hs 13min 4s;Ocupado;288;0hs 3min 24s;13
Llega camion;304;3;14hs 59min 1s;0hs 7min 37s;Libre; - ;0hs 0min 0s;1;Ocupado;303;0hs 3min 27s;0;Ocupado;289;0hs 11min 9s;Ocupado;288;0hs 1min 29s;13
Fin atencion Balanza;303;3;15hs 2min 28s;0hs 0min 0s;Ocupado;304;0hs 1min 34s;0;Libre; - ;..hs ..min ..s;0;Ocupado;289;0hs 7min 42s;Ocupado;290;0hs 14min 25s;13
Fin atencion Recepcion;304;3;15hs 4min 3s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;289;0hs 6min 7s;Ocupado;290;0hs 12min 50s;14
Llega camion;305;3;15hs 6min 39s;0hs 7min 42s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;289;0hs 3min 31s;Ocupado;290;0hs 10min 14s;14
Fin atencion Recepcion;305;3;15hs 9min 53s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;289;0hs 0min 17s;Ocupado;290;0hs 7min 0s;14
Llega camion;306;3;15hs 14min 22s;0hs 7min 5s;Libre; - ;0hs 0min 0s;1;Ocupado;305;0hs 1min 38s;0;Ocupado;291;0hs 11min 47s;Ocupado;290;0hs 2min 31s;13
Fin atencion Balanza;305;3;15hs 16min 0s;0hs 0min 0s;Ocupado;306;0hs 1min 56s;0;Libre; - ;..hs ..min ..s;0;Ocupado;291;0hs 10min 9s;Ocupado;290;0hs 0min 53s;14
Fin atencion Recepcion;306;3;15hs 17min 57s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;291;0hs 8min 12s;Ocupado;293;0hs 17min 18s;13
Llega camion;307;3;15hs 21min 28s;0hs 7min 16s;Libre; - ;0hs 0min 0s;1;Ocupado;306;0hs 3min 17s;0;Ocupado;291;0hs 4min 41s;Ocupado;293;0hs 13min 47s;13
Fin atencion Balanza;306;3;15hs 24min 45s;0hs 0min 0s;Ocupado;307;0hs 3min 19s;0;Libre; - ;..hs ..min ..s;0;Ocupado;291;0hs 1min 24s;Ocupado;293;0hs 10min 30s;14
Fin atencion Recepcion;307;3;15hs 28min 5s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;292;0hs 14min 17s;Ocupado;293;0hs 7min 10s;13
Llega camion;308;3;15hs 28min 45s;0hs 7min 47s;Libre; - ;0hs 0min 0s;1;Ocupado;307;0hs 5min 43s;0;Ocupado;292;0hs 13min 37s;Ocupado;293;0hs 6min 30s;13
Fin atencion Recepcion;308;3;15hs 33min 10s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;307;0hs 1min 18s;0;Ocupado;292;0hs 9min 12s;Ocupado;293;0hs 2min 5s;14
Fin atencion Balanza;307;3;15hs 34min 28s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;..hs ..min ..s;0;Ocupado;292;0hs 7min 54s;Ocupado;293;0hs 0min 47s;15
Llega camion;309;3;15hs 36min 33s;0hs 7min 58s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;292;0hs 5min 49s;Ocupado;295;0hs 16min 54s;14
Fin atencion Recepcion;309;3;15hs 41min 5s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;292;0hs 1min 17s;Ocupado;295;0hs 12min 22s;15
Llega camion;310;3;15hs 44min 32s;0hs 7min 21s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;294;0hs 14min 36s;Ocupado;295;0hs 8min 55s;14
Fin atencion Recepcion;310;3;15hs 48min 59s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;294;0hs 10min 9s;Ocupado;295;0hs 4min 28s;14
Llega camion;311;3;15hs 51min 54s;0hs 7min 51s;Libre; - ;0hs 0min 0s;1;Ocupado;310;0hs 3min 51s;0;Ocupado;294;0hs 7min 14s;Ocupado;295;0hs 1min 33s;14
Fin atencion Balanza;310;3;15hs 55min 45s;0hs 0min 0s;Ocupado;311;0hs 2min 16s;0;Libre; - ;..hs ..min ..s;0;Ocupado;294;0hs 3min 23s;Ocupado;296;0hs 16min 54s;14
Fin atencion Recepcion;311;3;15hs 58min 2s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;294;0hs 1min 6s;Ocupado;296;0hs 14min 37s;15
Llega camion;312;3;15hs 59min 46s;0hs 7min 18s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;297;0hs 16min 39s;Ocupado;296;0hs 12min 53s;14
Fin atencion Recepcion;312;3;16hs 3min 7s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;297;0hs 13min 18s;Ocupado;296;0hs 9min 32s;14
Llega camion;313;3;16hs 7min 5s;0hs 7min 9s;Libre; - ;0hs 0min 0s;1;Ocupado;312;0hs 1min 26s;0;Ocupado;297;0hs 9min 20s;Ocupado;296;0hs 5min 34s;14
Fin atencion Balanza;312;3;16hs 8min 31s;0hs 0min 0s;Ocupado;313;0hs 2min 57s;0;Libre; - ;..hs ..min ..s;0;Ocupado;297;0hs 7min 54s;Ocupado;296;0hs 4min 8s;15
Fin atencion Recepcion;313;3;16hs 11min 29s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;297;0hs 4min 56s;Ocupado;296;0hs 1min 10s;15
Llega camion;314;3;16hs 14min 15s;0hs 7min 19s;Libre; - ;0hs 0min 0s;1;Ocupado;313;0hs 2min 28s;0;Ocupado;297;0hs 2min 10s;Ocupado;298;0hs 16min 42s;14
Fin atencion Balanza;313;3;16hs 16min 43s;0hs 0min 0s;Ocupado;314;0hs 0min 54s;0;Libre; - ;..hs ..min ..s;0;Ocupado;299;0hs 26min 59s;Ocupado;298;0hs 14min 14s;14
Fin atencion Recepcion;314;3;16hs 17min 38s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;299;0hs 26min 4s;Ocupado;298;0hs 13min 19s;15
Llega camion;315;3;16hs 21min 35s;0hs 7min 4s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;299;0hs 22min 7s;Ocupado;298;0hs 9min 22s;15
Fin atencion Recepcion;315;3;16hs 26min 16s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;299;0hs 17min 26s;Ocupado;298;0hs 4min 41s;15
Llega camion;316;3;16hs 28min 40s;0hs 7min 26s;Libre; - ;0hs 0min 0s;1;Ocupado;315;0hs 4min 21s;0;Ocupado;299;0hs 15min 2s;Ocupado;298;0hs 2min 17s;15
Fin atencion Balanza;315;3;16hs 33min 1s;0hs 0min 0s;Ocupado;316;0hs 1min 49s;0;Libre; - ;..hs ..min ..s;0;Ocupado;299;0hs 10min 41s;Ocupado;300;0hs 21min 29s;15
Fin atencion Recepcion;316;3;16hs 34min 51s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;299;0hs 8min 51s;Ocupado;300;0hs 19min 39s;15
Llega camion;317;3;16hs 36min 7s;0hs 7min 3s;Libre; - ;0hs 0min 0s;1;Ocupado;316;0hs 4min 42s;0;Ocupado;299;0hs 7min 35s;Ocupado;300;0hs 18min 23s;15
Fin atencion Balanza;316;3;16hs 40min 49s;0hs 0min 0s;Ocupado;317;0hs 1min 29s;0;Libre; - ;..hs ..min ..s;0;Ocupado;299;0hs 2min 53s;Ocupado;300;0hs 13min 41s;16
Fin atencion Recepcion;317;3;16hs 42min 19s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;299;0hs 1min 23s;Ocupado;300;0hs 12min 11s;16
Llega camion;318;3;16hs 43min 11s;0hs 7min 35s;Libre; - ;0hs 0min 0s;1;Ocupado;317;0hs 4min 28s;0;Ocupado;299;0hs 0min 31s;Ocupado;300;0hs 11min 19s;16
Fin atencion Balanza;317;3;16hs 47min 39s;0hs 0min 0s;Ocupado;318;0hs 2min 20s;0;Libre; - ;..hs ..min ..s;0;Ocupado;301;0hs 13min 40s;Ocupado;300;0hs 6min 51s;16
Fin atencion Recepcion;318;3;16hs 50min 0s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;301;0hs 11min 19s;Ocupado;300;0hs 4min 30s;16
